Project Name,Category,Description,Difficulty Level,Estimated Time,Cost Estimation,Author,Source,Date Created,Popularity (Rating),Microcontroller,Components Required,Code Used (Link or Description),Libraries Required,Circuit Diagram (Link or Description),Input,Output,Power Supply,Communication Protocols,Software Tools,ML Model Used,Training Data Source,Inference Method,Real-Time Processing,Data Logging,User Interface,Physical Dimensions,Environment,Project Updates,Community Support
LED Blink,Basic,"Basic project to make an LED blink on and off using Arduino.",Easy,1 hour,Low,User,Internal,2024-08-10,5/5,Arduino,LED,Resistor,Custom code,Arduino IDE,Link to diagram or description,"Digital signal","Blinking LED",5V DC,Not applicable,Arduino IDE,No,Not applicable,Blinking algorithm,No,No,Arduino IDE interface,Small,Indoor,Completed,High
Temperature and Humidity Monitor,Sensor,"Uses a DHT11 sensor to measure temperature and humidity and display the data on an LCD.",Easy,2 hours,Low,User,Internal,2024-08-10,4.5/5,Arduino,DHT11 sensor,16x2 LCD,Custom code,Arduino IDE,Link to diagram or description,"Temperature and humidity","LCD display readings",5V DC,Not applicable,Arduino IDE,No,Not applicable,Sensor data reading,Yes,Yes,Display on LCD,Compact,Indoor,Completed,High
Ultrasonic Distance Sensor,Sensor,"Measure distance using an HC-SR04 sensor and display the result on a serial monitor.",Easy,1 hour,Low,User,Internal,2024-08-10,4/5,Arduino,HC-SR04 ultrasonic sensor,Custom code,Arduino IDE,Link to diagram or description,"Distance","Serial monitor readings",5V DC,Not applicable,Arduino IDE,No,Not applicable,Distance measurement algorithm,No,No,Serial monitor,Small,Indoor,Completed,High
RGB LED Controller,LED,"Control RGB LEDs using potentiometers to adjust color.",Medium,2 hours,Low,User,Internal,2024-08-10,4.5/5,Arduino,RGB LEDs,Potentiometers,Custom code,Arduino IDE,Link to diagram or description,"Potentiometer adjustments","RGB LED color changes",5V DC,Not applicable,Arduino IDE,No,Not applicable,Color mixing algorithm,No,No,Arduino IDE interface,Compact,Indoor,Completed,High
Soil Moisture Sensor,Sensor,"Monitor soil moisture levels using a soil moisture sensor for gardening applications.",Easy,2 hours,Low,User,Internal,2024-08-10,4.5/5,Arduino,Soil moisture sensor,Custom code,Arduino IDE,Link to diagram or description,"Soil moisture","Moisture level readings",5V DC,Not applicable,Arduino IDE,No,Not applicable,Moisture level detection,No,Yes,Arduino IDE interface,Compact,Outdoor,Completed,High
Smart Alarm System,Security,"Create a simple alarm system using a PIR motion sensor to detect movement.",Medium,2 hours,Low,User,Internal,2024-08-10,4/5,Arduino,PIR motion sensor,Custom code,Arduino IDE,Link to diagram or description,"Motion","Alarm activation",5V DC,Not applicable,Arduino IDE,No,Not applicable,Motion detection algorithm,No,No,Arduino IDE interface,Compact,Indoor,Completed,High
Digital Thermometer,Sensor,"Display temperature readings on an LCD using a DS18B20 sensor.",Easy,2 hours,Low,User,Internal,2024-08-10,4.5/5,Arduino,DS18B20 sensor,16x2 LCD,Custom code,Arduino IDE,Link to diagram or description,"Temperature","LCD display readings",5V DC,Not applicable,Arduino IDE,No,Not applicable,Temperature measurement,Yes,Yes,Display on LCD,Compact,Indoor,Completed,High
Light-Activated LED,LED,"Turn on an LED based on ambient light levels using a photoresistor.",Easy,1 hour,Low,User,Internal,2024-08-10,4/5,Arduino,Photoresistor,LED,Custom code,Arduino IDE,Link to diagram or description,"Light levels","LED activation",5V DC,Not applicable,Arduino IDE,No,Not applicable,Light sensing algorithm,No,No,Arduino IDE interface,Small,Indoor,Completed,High
Simple Line Following Robot,Robot,"Build a robot that follows a line using IR sensors.",Medium,3 hours,Medium,User,Internal,2024-08-10,4.5/5,Arduino,IR sensors,DC motors,Custom code,Arduino IDE,Link to diagram or description,"Line position","Robot movement",5V DC,Not applicable,Arduino IDE,No,Not applicable,Line following algorithm,Yes,No,Arduino IDE interface,Medium,Indoor,Completed,High
Bluetooth Controlled LED,Wireless,"Control an LED using a smartphone via Bluetooth.",Medium,2 hours,Low,User,Internal,2024-08-10,4.5/5,Arduino,Bluetooth module,LED,Custom code,Arduino IDE,Link to diagram or description,"Bluetooth commands","LED control",5V DC,Bluetooth,Arduino IDE,No,Not applicable,Bluetooth command processing,No,No,Smartphone interface,Compact,Indoor,Completed,High
